Timestamp, Latitude, Longitude, Set Heading, Real Heading, CTE, Set Left Vel, Set Right Vel, curr Left Vel, Curr Right Vel
1.974000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.007000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.042000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.067000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.097000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.143000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.159000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.193000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.219000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.249000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.291000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.311000000, 10.774365400, 106.659272800, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.342000000, 10.774365200, 106.659273000, 162.399993896, 98.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.371000000, 10.774365200, 106.659273000, 162.399993896, 98.799995422, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.400000000, 10.774365200, 106.659273000, 162.399993896, 98.900001526, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.441000000, 10.774365200, 106.659273000, 162.399993896, 98.900001526, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.463000000, 10.774365200, 106.659273000, 162.399993896, 99.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.492000000, 10.774365200, 106.659273000, 162.399993896, 99.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.523000000, 10.774365200, 106.659273100, 162.399993896, 99.299995422, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.555000000, 10.774365200, 106.659273100, 162.399993896, 99.299995422, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.592000000, 10.774365200, 106.659273100, 162.399993896, 99.599990845, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.615000000, 10.774365200, 106.659273100, 162.399993896, 99.599990845, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.645000000, 10.774365200, 106.659273100, 162.399993896, 100.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.675000000, 10.774365200, 106.659273100, 162.399993896, 100.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.707000000, 10.774365200, 106.659273100, 162.399993896, 100.299995422, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.742000000, 10.774365300, 106.659273200, 162.399993896, 100.699996948, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.767000000, 10.774365300, 106.659273200, 162.399993896, 100.899993896, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.796000000, 10.774365300, 106.659273200, 162.399993896, 101.099998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.841000000, 10.774365300, 106.659273200, 162.399993896, 101.399993896, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.859000000, 10.774365300, 106.659273200, 162.399993896, 101.399993896, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.891000000, 10.774365300, 106.659273200, 162.399993896, 102.000007629, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.918000000, 10.774365300, 106.659273200, 162.399993896, 102.000007629, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.949000000, 10.774365400, 106.659273900, 162.399993896, 102.500000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
2.990000000, 10.774365400, 106.659273900, 162.399993896, 103.099990845, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.010000000, 10.774365400, 106.659273900, 162.399993896, 103.099990845, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.042000000, 10.774365400, 106.659273900, 162.399993896, 103.700004578, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.071000000, 10.774365400, 106.659273900, 162.399993896, 103.700004578, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.101000000, 10.774365600, 106.659274300, 162.399993896, 104.300003052, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.138000000, 10.774365600, 106.659274300, 162.399993896, 104.300003052, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.163000000, 10.774365600, 106.659274300, 162.399993896, 104.899993896, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.193000000, 10.774365600, 106.659274300, 162.399993896, 105.099998474, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.223000000, 10.774365600, 106.659274300, 162.399993896, 105.499992371, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
3.255000000, 10.774365600, 106.659274300, 162.399993896, 105.799995422, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
